#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
DFNFGKOD_00053	1	720	266	720	100	58.0722	32.6	40.7
DFNFGKOD_00054	1	615	166	614	99.8374	41.1756	32.4	40
DFNFGKOD_00055	1	549	5	503	91.6211	1.32423	33	38.2
DFNFGKOD_00056	1	315	4	282	89.5238	1.83175	33.4	16.2
DFNFGKOD_00057	1	195	2	175	89.7436	1.40513	33.6	32.5
DFNFGKOD_00058	1	207	1	138	66.6667	0.666667	33.5	42
DFNFGKOD_00059	1	309	5	230	74.4337	0.97411	33.1	42
DFNFGKOD_00060	1	1005	80	985	98.01	11.9652	33	37.8
DFNFGKOD_00061	1	762	29	745	97.769	5.29396	32.5	39.2
DFNFGKOD_00062	1	219	3	148	67.5799	1.3516	32.6	42
DFNFGKOD_00063	1	807	54	794	98.3891	10.0099	32.9	41.6
DFNFGKOD_00064	1	864	38	862	99.7685	6.77546	33	41.5
DFNFGKOD_00065	1	519	25	516	99.422	6.35838	32.2	39.6
DFNFGKOD_00066	1	708	35	642	90.678	7.46893	33.3	41
DFNFGKOD_00067	1	492	21	481	97.7642	6.36585	33	36.5
DFNFGKOD_00068	1	255	2	199	78.0392	1.0902	32.8	32.5
DFNFGKOD_00069	1	198	3	179	90.404	2.25758	33.5	14
DFNFGKOD_00070	1	138	2	137	99.2754	0.992754	33.7	33
DFNFGKOD_00071	1	222	7	217	97.7477	4.76126	32.4	41.7
DFNFGKOD_00072	1	858	40	852	99.3007	6.79487	32.8	37.9
DFNFGKOD_00073	1	543	56	523	96.3168	15.3738	32.7	21.9
DFNFGKOD_00074	1	447	14	410	91.7226	4.34676	32.1	26.1
DFNFGKOD_00075	1	510	24	439	86.0784	7.61373	33	16.9
DFNFGKOD_00076	1	738	43	699	94.7154	8.22358	33.3	40.4
DFNFGKOD_00077	1	171	2	151	88.3041	2.64912	33.5	1.5
DFNFGKOD_00078	1	357	5	314	87.9552	2.36134	32.6	42
DFNFGKOD_00080	1	276	2	236	85.5072	1.09058	32	15.5
DFNFGKOD_00082	1	186	1	141	75.8065	0.758065	33.2	42
DFNFGKOD_00083	1	369	53	368	99.729	19.9512	32.9	35.9
DFNFGKOD_00084	1	402	71	402	100	24.7612	33	37.5
DFNFGKOD_00085	1	162	5	137	84.5679	2.48148	33.8	30.2
DFNFGKOD_00086	1	1275	85	1275	100	9.73412	32.6	41.1
DFNFGKOD_00087	1	222	5	156	70.2703	3.21171	32.4	42
DFNFGKOD_00088	1	381	5	308	80.8399	1.979	32.8	41.6
DFNFGKOD_00089	1	318	8	310	97.4843	3.27987	31.8	41.8
DFNFGKOD_00090	1	471	8	367	77.9193	2.51168	33.1	36.5
DFNFGKOD_00091	1	180	4	144	80	3.98333	33.3	26.5
DFNFGKOD_00092	1	495	16	488	98.5859	4.8202	32.8	35.8
DFNFGKOD_00093	1	348	3	348	100	1.19253	32.2	21.7
DFNFGKOD_00094	1	225	1	151	67.1111	0.671111	32.5	24
DFNFGKOD_00095	1	204	5	140	68.6275	0.686275	33.9	42
DFNFGKOD_00096	1	564	25	526	93.2624	7.71454	32.7	39.6
DFNFGKOD_00097	1	582	37	483	82.9897	9.18729	32.7	28.4
DFNFGKOD_00098	1	228	11	224	98.2456	6.34649	32.7	24.3
DFNFGKOD_00099	1	483	47	483	100	13.7122	32.5	33.8
DFNFGKOD_00100	1	1788	190	1736	97.0917	16.0084	32.9	29.2
DFNFGKOD_00101	1	420	13	419	99.7619	4.5381	33	40.6
DFNFGKOD_00102	1	219	4	161	73.516	2.75799	32.2	37.5
DFNFGKOD_00103	1	204	5	202	99.0196	3.54412	32.7	34.6
DFNFGKOD_00104	1	486	15	474	97.5309	4.43621	33	38.5
DFNFGKOD_00105	1	570	62	568	99.6491	13.1509	33.3	40.4
DFNFGKOD_00106	1	630	27	616	97.7778	6.73651	32.9	40.3
DFNFGKOD_00107	1	222	7	213	95.9459	4.11261	32.5	42
DFNFGKOD_00108	1	816	32	732	89.7059	5.62377	32.7	36.4
DFNFGKOD_00109	1	918	48	891	97.0588	7.7146	33	40.7
DFNFGKOD_00110	1	1170	48	1168	99.8291	5.76496	32.6	40.1
DFNFGKOD_00111	1	984	46	953	96.8496	6.91159	32.6	38.6
DFNFGKOD_00112	1	405	16	360	88.8889	5.37284	33.3	39.6
DFNFGKOD_00113	1	345	8	345	100	2.11304	32.5	25.4
DFNFGKOD_00114	1	366	39	366	100	16.5628	32.7	38.9
DFNFGKOD_00115	1	357	138	350	98.0392	56.7031	32.8	30.6
DFNFGKOD_00116	1	1050	363	1050	100	51.4067	32.7	36.7
DFNFGKOD_00117	1	582	196	581	99.8282	50.122	32.9	40
DFNFGKOD_00118	1	4734	547	4698	99.2395	16.9713	32.7	38.2
DFNFGKOD_00119	1	903	47	888	98.3389	7.81838	33.1	41.5
DFNFGKOD_00120	1	1128	83	1083	96.0106	10.2695	32.9	41.2
DFNFGKOD_00121	1	810	58	810	100	11.116	32.8	38.4
DFNFGKOD_00122	1	402	32	400	99.5025	11.4801	32.8	38.2
DFNFGKOD_00123	1	2847	200	2847	100	9.91219	32.7	41.5
DFNFGKOD_00124	1	759	190	757	99.7365	35.9605	32.8	34.8
DFNFGKOD_00125	1	294	26	293	99.6599	12.2551	32.8	33.9
DFNFGKOD_00126	1	252	18	249	98.8095	10.0437	33	37.8
DFNFGKOD_00127	1	519	23	502	96.7245	7.04239	32.4	40.1
DFNFGKOD_00128	1	576	80	576	100	19.9184	33.1	36.5
DFNFGKOD_00130	1	1800	93	1793	99.6111	7.74	32.8	42
DFNFGKOD_00131	1	393	15	388	98.7277	4.69975	33.3	34.1
DFNFGKOD_00132	1	204	7	184	90.1961	4.83824	33.5	42
DFNFGKOD_00133	1	1410	109	1353	95.9574	11.1652	32.9	41.6
DFNFGKOD_00134	1	2079	172	2078	99.9519	12.1987	32.7	41.9
DFNFGKOD_00136	1	687	26	686	99.8544	5.6754	32.7	39.9
DFNFGKOD_00137	1	285	8	268	94.0351	4.14035	32.9	29.1
DFNFGKOD_00138	1	294	5	214	72.7891	2.03401	33.1	38.4
DFNFGKOD_00139	1	846	83	828	97.8723	14.9208	32.7	41.5
DFNFGKOD_00140	1	693	44	685	98.8456	9.04906	32.7	39.8
DFNFGKOD_00141	1	1500	127	1500	100	12.7047	32.5	40.3
DFNFGKOD_00142	1	591	49	588	99.4924	10.291	33	38.7
DFNFGKOD_00143	1	1416	137	1414	99.8588	14.1999	32.9	41
DFNFGKOD_00144	1	1521	140	1518	99.8028	13.5437	32.9	41.3
DFNFGKOD_00145	1	606	51	604	99.67	11.5264	33	40.6
DFNFGKOD_00151	1	165	2	144	87.2727	2.58788	33.1	42
DFNFGKOD_00152	1	363	12	292	80.4408	4.24793	33	35.2
DFNFGKOD_00153	1	369	12	363	98.374	4.58266	32.8	42
DFNFGKOD_00154	1	342	1	150	43.8596	0.438596	33.6	24
DFNFGKOD_00155	1	255	2	158	61.9608	1.16863	32.9	23
DFNFGKOD_00156	1	177	4	140	79.096	0.79096	33.6	37.5
DFNFGKOD_00157	1	399	17	398	99.7494	6.66416	32.5	39.5
DFNFGKOD_00158	1	333	20	316	94.8949	9.45646	33	41
DFNFGKOD_00159	1	324	14	320	98.7654	5.84568	33.3	36.3
DFNFGKOD_00160	1	402	16	379	94.2786	4.9403	32.9	33.9
DFNFGKOD_00161	1	423	8	416	98.3452	2.83688	31.7	33.5
DFNFGKOD_00162	1	849	63	849	100	9.81037	32.6	39.7
DFNFGKOD_00163	1	2064	122	2056	99.6124	8.71415	32.5	41.5
DFNFGKOD_00164	1	771	44	770	99.8703	8.53567	32.6	40.7
DFNFGKOD_00165	1	753	31	723	96.0159	5.13147	32.8	39.3
DFNFGKOD_00166	1	246	5	242	98.374	3.54878	32.3	35.2
DFNFGKOD_00167	1	444	6	303	68.2432	1.33333	32	36
DFNFGKOD_00168	1	195	2	150	76.9231	2.30769	32.8	42
DFNFGKOD_00169	1	1374	107	1315	95.706	11.4898	32.8	32.2
DFNFGKOD_00170	1	318	11	316	99.3711	5.44654	32.7	26.5
DFNFGKOD_00171	1	474	44	471	99.3671	10.4747	33.3	39.8
DFNFGKOD_00172	1	1347	74	1331	98.8122	8.3853	32.7	41.5
DFNFGKOD_00173	1	486	25	474	97.5309	7.73045	32.7	37.8
DFNFGKOD_00174	1	345	7	275	79.7101	2.13333	33.4	31.7
DFNFGKOD_00175	1	258	2	251	97.2868	2.33721	33.5	21
DFNFGKOD_00176	1	192	3	128	66.6667	0.666667	32.7	36
DFNFGKOD_00177	1	198	5	150	75.7576	2.27273	33.3	27.6
DFNFGKOD_00178	1	615	69	615	100	15.6797	32.8	35.8
DFNFGKOD_00179	1	903	88	903	100	14.6899	32.4	40.9
DFNFGKOD_00180	1	1107	106	1107	100	13.7832	32.4	41.6
DFNFGKOD_00181	1	354	11	336	94.9153	3.71469	32.3	35.1
DFNFGKOD_00182	1	303	2	268	88.4488	1.9934	32.8	42
DFNFGKOD_00183	1	231	6	187	80.9524	3.26407	33.4	42
DFNFGKOD_00184	1	189	1	150	79.3651	1.5873	31.8	42
DFNFGKOD_00185	1	249	2	180	72.2892	1.20884	33.6	33
DFNFGKOD_00186	1	273	4	260	95.2381	1.64835	32.9	16.5
DFNFGKOD_00187	1	258	10	255	98.8372	5.21318	33.4	38.2
DFNFGKOD_00188	1	609	19	578	94.9097	4.6092	33.1	40
DFNFGKOD_00189	1	471	10	441	93.6306	2.59873	32.8	34.2
DFNFGKOD_00190	1	504	18	462	91.6667	5.07143	33.2	42
DFNFGKOD_00191	1	372	8	341	91.6667	4.05108	32.3	33
DFNFGKOD_00192	1	606	42	555	91.5842	10.3845	32.4	18.3
DFNFGKOD_00193	1	351	14	351	100	5.13675	32.9	32
DFNFGKOD_00194	1	732	31	711	97.1311	6.34426	32.3	42
DFNFGKOD_00195	1	1221	54	1210	99.0991	6.25143	32.5	39.3
DFNFGKOD_00196	1	660	36	608	92.1212	8.56515	32.9	38.1
DFNFGKOD_00197	1	1185	40	1127	95.1055	5.18819	32.9	41
DFNFGKOD_00199	1	900	31	761	84.5556	5.19111	32.7	41.4
DFNFGKOD_00200	1	234	8	225	96.1538	4.22222	33.4	30.1
DFNFGKOD_00201	1	345	12	321	93.0435	4.15072	32.9	30.7
DFNFGKOD_00202	1	294	4	283	96.2585	1.88776	33.1	2.25
DFNFGKOD_00203	1	153	3	142	92.8105	2.78431	33.9	14
DFNFGKOD_00205	1	282	4	272	96.4539	2.97518	32.6	42
DFNFGKOD_00206	1	549	13	461	83.9709	3.57013	33	36.4
DFNFGKOD_00207	1	249	17	248	99.5984	6.4739	33.2	30.2
DFNFGKOD_00208	1	1023	90	1020	99.7067	12.8397	32.9	23.4
DFNFGKOD_00209	1	600	7	511	85.1667	1.75667	32.3	39.3
DFNFGKOD_00210	1	396	25	396	100	7.54798	32.9	38.1
DFNFGKOD_00211	1	525	24	522	99.4286	7.86857	32.8	38.4
DFNFGKOD_00212	1	648	32	648	100	6.69444	32.9	36.2
DFNFGKOD_00213	1	492	17	439	89.2276	5.77642	33	29.9
DFNFGKOD_00215	1	138	6	136	98.5507	0.985507	32.8	23
DFNFGKOD_00216	1	1506	109	1495	99.2696	11.1135	32.8	40.8
DFNFGKOD_00217	1	237	11	230	97.0464	6.70042	32.6	41.8
DFNFGKOD_00218	1	1200	73	1193	99.4167	8.63	32.8	39.9
DFNFGKOD_00219	1	237	7	169	71.308	3.03797	32.5	29.1
DFNFGKOD_00220	1	498	13	458	91.9679	4.48193	32.7	34.1
DFNFGKOD_00221	1	237	3	233	98.3122	2.37975	32.9	28
DFNFGKOD_00222	1	1128	48	1127	99.9113	5.84131	32.8	37.8
DFNFGKOD_00224	1	324	20	284	87.6543	7.19753	32.8	38.3
DFNFGKOD_00225	1	420	8	420	100	3.42857	32.6	34.6
DFNFGKOD_00226	1	192	2	140	72.9167	0.729167	31.1	32.5
DFNFGKOD_00227	1	402	4	213	52.9851	1.50249	33	33
DFNFGKOD_00228	1	201	1	151	75.1244	1.50249	33.5	42
DFNFGKOD_00229	1	453	15	414	91.3907	3.63576	32.3	28.8
DFNFGKOD_00230	1	789	22	789	100	4.68948	32.9	38.5
DFNFGKOD_00231	1	282	2	201	71.2766	1.60638	33.3	21
DFNFGKOD_00232	1	996	76	995	99.8996	10.6536	32.8	41.2
DFNFGKOD_00233	1	1683	108	1683	100	9.06774	32.8	41.5
DFNFGKOD_00234	1	312	9	256	82.0513	4.22115	33.5	40.9
DFNFGKOD_00235	1	369	17	368	99.729	7.62602	33.3	36
DFNFGKOD_00237	1	177	3	151	85.3107	0.853107	33.1	42
DFNFGKOD_00240	1	474	19	361	76.1603	5.11392	32.9	42
DFNFGKOD_00241	1	300	6	282	94	3.89	31.3	35.2
DFNFGKOD_00242	1	177	5	176	99.435	3.16384	32.8	18.4
DFNFGKOD_00243	1	693	26	681	98.2684	5.31313	32.2	37.6
DFNFGKOD_00245	1	1188	110	1174	98.8215	13.7601	32.7	38.2
DFNFGKOD_00246	1	999	109	999	100	16.0901	32.5	40.4
DFNFGKOD_00247	1	1581	129	1567	99.1145	11.6312	32.9	41.2
DFNFGKOD_00248	1	258	2	151	58.5271	1.75581	32.5	22.5
DFNFGKOD_00249	1	222	1	142	63.964	1.27928	33.5	42
DFNFGKOD_00250	1	570	8	481	84.386	1.85263	32	33.5
DFNFGKOD_00251	1	210	6	208	99.0476	3.45238	32.9	41
DFNFGKOD_00252	1	429	20	429	100	6.91841	33	40.2
DFNFGKOD_00254	1	273	9	235	86.0806	4.73993	33.5	28.4
DFNFGKOD_00255	1	429	13	429	100	4.22378	32.3	12.8
DFNFGKOD_00256	1	153	4	153	100	4.67974	33.3	22
DFNFGKOD_00257	1	195	2	145	74.359	0.74359	33.4	41
DFNFGKOD_00258	1	315	5	311	98.7302	2.3619	32.5	41.6
DFNFGKOD_00259	1	342	4	291	85.0877	2.19591	31.4	33.5
DFNFGKOD_00260	1	291	2	176	60.4811	1.00344	32.9	42
DFNFGKOD_00261	1	327	4	170	51.9878	1.38532	32.4	41
DFNFGKOD_00262	1	612	22	612	100	5.10131	32.6	39.1
DFNFGKOD_00263	1	297	14	295	99.3266	5.15488	33.4	24.9
DFNFGKOD_00264	1	228	1	151	66.2281	2.64912	32.3	42
DFNFGKOD_00265	1	345	11	344	99.7101	4.23478	32.7	39.5
DFNFGKOD_00266	1	507	15	502	99.0138	4.43195	32.4	41.2
DFNFGKOD_00267	1	780	39	773	99.1026	7.07949	32.2	37.2
DFNFGKOD_00268	1	423	20	421	99.5272	7.26478	32.8	35.5
DFNFGKOD_00270	1	336	21	333	99.1071	7.9881	32.6	41.1
DFNFGKOD_00272	1	504	35	460	91.2698	11.7917	32.1	37.5
DFNFGKOD_00273	1	561	33	561	100	7.56863	33.2	40
DFNFGKOD_00274	1	432	22	420	97.2222	9.05324	33	39.5
DFNFGKOD_00275	1	474	30	470	99.1561	9.37131	32.1	35.7
DFNFGKOD_00276	1	5754	484	5754	100	12.4148	32.6	41.4
DFNFGKOD_00277	1	1575	208	1571	99.746	19.1257	32.8	41.2
DFNFGKOD_00278	1	1896	124	1857	97.943	9.67247	32.7	41.3
DFNFGKOD_00279	1	261	4	234	89.6552	2.18008	33.4	32.5
DFNFGKOD_00280	1	231	1	142	61.4719	1.22944	33.8	42
DFNFGKOD_00281	1	294	8	243	82.6531	3.04082	32.5	35.2
DFNFGKOD_00282	1	603	50	597	99.005	10.9983	32.5	36
DFNFGKOD_00283	1	1149	78	1149	100	10.027	32.6	41.4
DFNFGKOD_00284	1	330	11	239	72.4242	3.49091	33.1	34.4
DFNFGKOD_00285	1	618	49	588	95.1456	11.1812	33	40.9
DFNFGKOD_00286	1	201	12	201	100	7.10448	32.4	32.2
DFNFGKOD_00287	1	255	5	237	92.9412	2.2549	32.5	38.4
DFNFGKOD_00288	1	936	63	913	97.5427	10.1303	32.7	41.4
DFNFGKOD_00289	1	1068	68	1068	100	8.76592	32.9	37.9
DFNFGKOD_00290	1	1182	65	1181	99.9154	8.17597	32.8	39.7
DFNFGKOD_00291	1	633	25	633	100	5.94471	32.9	38.9
DFNFGKOD_00292	1	258	6	221	85.6589	3.40698	32.7	31.2
DFNFGKOD_00293	1	285	5	249	87.3684	1.92982	32.5	30.6
DFNFGKOD_00294	1	390	6	389	99.7436	2.28718	31.6	27
DFNFGKOD_00295	1	141	5	132	93.617	1.83688	31.4	42
DFNFGKOD_00296	1	792	39	743	93.8131	7.79672	32.2	42
DFNFGKOD_00297	1	705	37	698	99.0071	7.8922	32.5	40.9
DFNFGKOD_00298	1	495	13	486	98.1818	4.1899	32.1	39.1
DFNFGKOD_00299	1	261	4	168	64.3678	2.31418	33.8	42
DFNFGKOD_00300	1	573	51	556	97.0332	12.3805	32.7	40.3
DFNFGKOD_00301	1	507	13	497	98.0276	2.90927	33.3	29
DFNFGKOD_00302	1	375	9	338	90.1333	2.74133	32.6	14.6
DFNFGKOD_00303	1	288	1101	288	100	568.438	32.7	11.9
DFNFGKOD_00304	1	447	155	447	100	48.0134	32.6	39.5
DFNFGKOD_00305	1	441	137	441	100	49.2721	32.9	40.8
DFNFGKOD_00306	1	324	1	150	46.2963	0.462963	32.7	42
DFNFGKOD_00307	1	321	8	288	89.7196	3.11526	31.9	34.5
DFNFGKOD_00308	1	858	19	852	99.3007	3.3007	32.5	40.8
DFNFGKOD_00309	1	189	6	185	97.8836	4.55556	32.9	25.7
DFNFGKOD_00310	1	210	4	145	69.0476	1.38095	33.2	28.5
DFNFGKOD_00312	1	393	10	376	95.6743	4.84987	32	26.4
DFNFGKOD_00313	1	1287	74	1268	98.5237	8.49262	32.9	40.9
DFNFGKOD_00314	1	357	18	356	99.7199	6.16527	32.8	39.9
DFNFGKOD_00315	1	255	9	254	99.6078	4.58039	32.5	42
DFNFGKOD_00316	1	507	25	498	98.2249	7.714	32.2	39.6
DFNFGKOD_00317	1	1293	108	1250	96.6744	11.7834	32.7	41.6
DFNFGKOD_00318	1	315	10	314	99.6825	4.50794	33.2	30.8
DFNFGKOD_00319	1	222	15	222	100	7.36486	32.8	37.5
DFNFGKOD_00320	1	312	9	300	96.1538	5.63782	33.3	28.3
DFNFGKOD_00321	1	453	14	452	99.7792	3.95585	33.4	42
DFNFGKOD_00322	1	417	14	382	91.6067	5.41247	33.5	36
DFNFGKOD_00323	1	1308	83	1306	99.8471	9.56346	32.7	32.2
DFNFGKOD_00324	1	636	42	635	99.8428	9.73428	32.8	41.1
DFNFGKOD_00325	1	324	11	282	87.037	4.49691	33.1	41.3
DFNFGKOD_00326	1	534	16	531	99.4382	4.2191	33.1	41.8
DFNFGKOD_00327	1	453	32	422	93.1567	10.3245	33.1	42
DFNFGKOD_00328	1	243	8	217	89.3004	4.3251	33	31.5
DFNFGKOD_00329	1	285	3	249	87.3684	1.94737	32.8	42
DFNFGKOD_00330	1	198	1	150	75.7576	0.757576	33.8	42
DFNFGKOD_00331	1	228	11	218	95.614	7.27632	31.8	41.8
DFNFGKOD_00332	1	513	23	496	96.6862	4.44834	33.4	27.3
DFNFGKOD_00333	1	930	71	925	99.4624	12.3312	32.3	39.8
DFNFGKOD_00334	1	216	10	185	85.6481	6.94907	32.8	40.1
DFNFGKOD_00335	1	321	36	320	99.6885	15.0436	32.4	27.2
DFNFGKOD_00336	1	447	18	445	99.5526	5.98434	32.5	35.6
DFNFGKOD_00337	1	798	41	732	91.7293	7.68421	32.8	41.1
DFNFGKOD_00338	1	363	20	342	94.2149	8.28375	32.9	40.9
DFNFGKOD_00339	1	594	28	594	100	5.94613	32.7	38.1
DFNFGKOD_00340	1	234	2	151	64.5299	3.19231	33.4	42
DFNFGKOD_00341	1	474	13	463	97.6793	4.04641	32.6	33.2
DFNFGKOD_00342	1	210	2	192	91.4286	2.04762	33.1	42
DFNFGKOD_00343	1	510	9	391	76.6667	2.33922	33.4	39.9
DFNFGKOD_00344	1	186	7	172	92.4731	4.86022	32.4	42
DFNFGKOD_00345	1	234	9	185	79.0598	7.0812	32.3	38.2
DFNFGKOD_00346	1	333	5	315	94.5946	1.78078	33.3	21.4
DFNFGKOD_00347	1	168	5	126	75	1.5	31.8	4.8
DFNFGKOD_00348	1	390	96	390	100	37.9846	32.8	38.4
DFNFGKOD_00349	1	183	2	143	78.1421	0.781421	33.7	12
DFNFGKOD_00350	1	198	6	198	100	2.72222	32.7	11.5
DFNFGKOD_00351	1	279	7	279	100	5.06452	32.6	21.9
DFNFGKOD_00352	1	225	4	149	66.2222	0.662222	33.2	37.2
DFNFGKOD_00353	1	321	2	208	64.7975	2.33022	33.5	31
DFNFGKOD_00354	1	384	30	352	91.6667	10.401	32.9	24.3
DFNFGKOD_00356	1	348	7	340	97.7011	2.55172	32.9	23.3
DFNFGKOD_00357	1	471	35	439	93.2059	7.91295	32.3	35.4
DFNFGKOD_00358	1	1233	72	1232	99.9189	9.35766	33.2	39.2
DFNFGKOD_00360	1	873	50	872	99.8855	8.39175	32.1	38.5
DFNFGKOD_00361	1	327	16	310	94.8012	5.7737	32.1	36.8
DFNFGKOD_00362	1	225	1	149	66.2222	2.63111	30.8	42
DFNFGKOD_00363	1	222	6	220	99.0991	3.99099	32	35
DFNFGKOD_00364	1	351	12	293	83.4758	5.14815	32.9	33.7
DFNFGKOD_00365	1	210	3	127	60.4762	0.604762	32.1	16
DFNFGKOD_00366	1	282	4	217	76.9504	3.07801	32.7	37.2
DFNFGKOD_00367	1	294	12	279	94.898	3.18707	33.5	38.5
DFNFGKOD_00368	1	339	4	151	44.5428	1.78171	33.5	10
DFNFGKOD_00369	1	138	1	137	99.2754	3.97101	33.4	23
DFNFGKOD_00370	1	591	58	590	99.8308	14.6328	32.6	22.5
DFNFGKOD_00371	1	531	18	483	90.9605	4.34087	32.4	42
DFNFGKOD_00372	1	249	6	181	72.6908	3.63052	33.6	35.8
DFNFGKOD_00373	1	642	10	641	99.8442	2.33489	31.7	36.4
DFNFGKOD_00374	1	345	33	311	90.1449	12.0928	32.5	16.3
DFNFGKOD_00375	1	330	23	328	99.3939	10.8727	33	23.3
DFNFGKOD_00376	1	186	3	133	71.5054	2.36559	33.7	42
DFNFGKOD_00377	1	201	7	155	77.1144	3.75622	33.5	27.9
DFNFGKOD_00378	1	339	24	333	98.2301	11.0088	33.3	39.5
DFNFGKOD_00379	1	207	14	205	99.0338	4.5314	32.7	7
DFNFGKOD_00380	1	321	4	290	90.3427	1.68536	32.7	31.5
DFNFGKOD_00381	1	534	16	523	97.9401	3.89326	32.9	34.7
DFNFGKOD_00382	1	204	5	202	99.0196	4.17647	33.4	18.6
DFNFGKOD_00383	1	270	3	187	69.2593	1.56667	32.8	14
DFNFGKOD_00384	1	204	3	170	83.3333	2.70588	33.3	42
DFNFGKOD_00386	1	498	17	478	95.9839	4.71687	32.3	37.3
DFNFGKOD_00387	1	414	15	413	99.7585	5.38647	33.3	38.3
DFNFGKOD_00388	1	300	24	269	89.6667	10.4767	33.2	24.6
DFNFGKOD_00389	1	486	23	446	91.7695	7.09671	32.3	39.5
DFNFGKOD_00390	1	537	28	482	89.7579	7.28492	32.6	37.6
DFNFGKOD_00391	1	162	6	154	95.0617	4.75309	33.5	18
DFNFGKOD_00392	1	1512	83	1507	99.6693	7.3459	32.8	38.7
DFNFGKOD_00393	1	474	19	470	99.1561	5.13713	33.2	36.1
DFNFGKOD_00394	1	294	20	293	99.6599	10.483	32.4	39.2
DFNFGKOD_00395	1	543	29	541	99.6317	6.97053	32.8	40.6
DFNFGKOD_00396	1	366	15	353	96.4481	6.09836	33	36.1
DFNFGKOD_00397	1	312	16	312	100	6.96795	31.8	35.4
DFNFGKOD_00398	1	990	59	971	98.0808	8.76869	32.9	40.1
DFNFGKOD_00399	1	141	12	141	100	1	28.6	17.3
DFNFGKOD_00400	1	1635	816	1635	100	74.482	32.6	40.3
DFNFGKOD_00401	1	360	130	360	100	50.9222	32.4	34.9
DFNFGKOD_00402	1	1032	448	1032	100	66.4254	32.7	40.5
DFNFGKOD_00403	1	936	382	936	100	61.312	32.5	39.6
DFNFGKOD_00404	1	1077	499	1077	100	69.5032	32.7	40.8
DFNFGKOD_00405	1	765	397	765	100	75.4314	32.5	39.4
