#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
GPICHNHB_00038	1	228	4	227	99.5614	2.44737	32	31.5
GPICHNHB_00039	1	279	3	228	81.7204	1.60573	33.4	41.3
GPICHNHB_00040	1	504	8	368	73.0159	1.79365	32.7	35.1
GPICHNHB_00041	1	336	8	336	100	3.8869	33.3	37
GPICHNHB_00042	1	417	7	417	100	2.5036	32.4	41.7
GPICHNHB_00043	1	594	16	557	93.771	4.05892	32.7	36.8
GPICHNHB_00045	1	354	8	352	99.435	3.62712	33.6	27.4
GPICHNHB_00046	1	333	6	300	90.0901	2.26727	33.6	42
GPICHNHB_00047	1	216	3	57	26.3889	0.527778	32.3	42
GPICHNHB_00048	1	198	1	151	76.2626	2.28788	32.3	42
GPICHNHB_00049	1	279	3	224	80.2867	1.58065	31.4	21.7
GPICHNHB_00050	1	600	11	518	86.3333	2.25	33.2	31.4
GPICHNHB_00051	1	162	1	136	83.9506	2.51852	33.6	42
GPICHNHB_00052	1	258	2	151	58.5271	0.585271	33.7	42
GPICHNHB_00053	1	609	13	572	93.9245	2.84893	33.5	28.2
GPICHNHB_00054	1	291	6	287	98.6254	3.06186	33.5	35.3
GPICHNHB_00055	1	186	1	143	76.8817	1.53763	33.5	42
GPICHNHB_00057	1	2403	123	2400	99.8752	7.38077	32.9	41.6
GPICHNHB_00058	1	333	18	306	91.8919	7.45946	33.4	39.2
GPICHNHB_00059	1	252	7	240	95.2381	2.91667	33.5	42
GPICHNHB_00060	1	261	5	242	92.7203	2.31418	33.7	42
GPICHNHB_00061	1	264	5	201	76.1364	3.32197	32.1	12.4
GPICHNHB_00062	1	300	13	241	80.3333	5.46	32.5	20.8
GPICHNHB_00063	1	288	3	182	63.1944	1.56944	33.6	42
GPICHNHB_00065	1	240	3	157	65.4167	2.51667	32.4	28
GPICHNHB_00066	1	396	8	319	80.5556	1.89646	33.5	41.8
GPICHNHB_00067	1	1014	39	997	98.3235	5.56114	33.3	40.9
GPICHNHB_00068	1	225	6	176	78.2222	1.94667	32.8	42
GPICHNHB_00069	1	600	10	552	92	3.05833	33	35.9
GPICHNHB_00070	1	147	1	144	97.9592	0.979592	33	42
GPICHNHB_00071	1	297	5	198	66.6667	2.52525	33	40.2
GPICHNHB_00072	1	1440	54	1322	91.8056	5.65278	32.8	34.1
GPICHNHB_00073	1	654	20	622	95.107	4.50306	33.1	39
GPICHNHB_00074	1	696	70	696	100	14.7198	32.5	17.8
GPICHNHB_00075	1	246	1	151	61.3821	0.613821	33.4	40
GPICHNHB_00076	1	351	12	351	100	4.98006	33.4	32.5
GPICHNHB_00077	1	411	12	321	78.1022	4.03163	32.4	40.2
GPICHNHB_00078	1	372	11	339	91.129	4.7957	33.6	36.7
GPICHNHB_00079	1	609	20	604	99.179	4.63711	32.9	36.1
GPICHNHB_00080	1	345	5	342	99.1304	2.49275	33.3	34
GPICHNHB_00081	1	717	12	679	94.7001	2.50488	33	39
GPICHNHB_00082	1	180	1	150	83.3333	0.833333	33	8
GPICHNHB_00083	1	237	2	197	83.1224	1.173	32.7	42
GPICHNHB_00084	1	1797	53	1774	98.7201	4.35893	32.8	41.5
GPICHNHB_00085	1	411	15	411	100	5.35766	33.5	33.1
GPICHNHB_00086	1	210	2	209	99.5238	2.02857	33.3	40
GPICHNHB_00087	1	255	3	227	89.0196	1.16078	33	42
GPICHNHB_00088	1	345	12	306	88.6957	4.7971	32.8	33.8
GPICHNHB_00089	1	300	13	261	87	3.74333	32.7	16.5
GPICHNHB_00090	1	474	161	474	100	49.4388	33	29.3
GPICHNHB_00092	1	906	30	855	94.3709	4.81898	33.1	40.6
GPICHNHB_00093	1	237	2	135	56.962	1.13924	29.7	21
GPICHNHB_00094	1	174	1	132	75.8621	1.51724	32.6	42
GPICHNHB_00095	1	201	2	151	75.1244	1.48756	33	21
GPICHNHB_00096	1	180	1	150	83.3333	0.833333	32.6	42
GPICHNHB_00097	1	198	4	187	94.4444	2.93434	31.5	24
GPICHNHB_00098	1	627	20	627	100	4.54226	33	39.9
GPICHNHB_00099	1	693	26	631	91.0534	5.8658	33.5	42
GPICHNHB_00100	1	345	5	306	88.6957	1.78261	32.3	41.6
GPICHNHB_00101	1	291	2	151	51.89	0.5189	33.7	41
GPICHNHB_00102	1	195	2	148	75.8974	1.51795	33.7	42
GPICHNHB_00103	1	1149	30	1053	91.6449	4.06179	32.7	42
GPICHNHB_00104	1	231	2	156	67.5325	1.30736	33.1	32.5
GPICHNHB_00105	1	780	18	760	97.4359	2.78205	32.5	37.9
GPICHNHB_00106	1	666	26	666	100	5.73273	33.2	41.9
GPICHNHB_00107	1	672	30	637	94.7917	5.98214	32.7	37
GPICHNHB_00108	1	1467	120	1438	98.0232	11.2638	33	33.7
GPICHNHB_00109	1	507	187	507	100	55.9211	32.5	39
GPICHNHB_00110	1	192	54	192	100	41.0885	32.8	38.2
GPICHNHB_00111	1	456	9	436	95.614	3.29605	33.2	28.6
GPICHNHB_00112	1	411	7	328	79.8054	2.21168	33	36.7
GPICHNHB_00113	1	531	47	531	100	12.5122	33.1	29.4
GPICHNHB_00114	1	1209	106	1209	100	12.359	32.8	35.4
GPICHNHB_00115	1	450	22	448	99.5556	6.71111	33.3	39.3
GPICHNHB_00116	1	495	8	478	96.5657	2.42828	33	40.4
GPICHNHB_00117	1	600	14	549	91.5	3.48	33.1	31.6
GPICHNHB_00118	1	327	8	327	100	3.44037	30.9	31.8
GPICHNHB_00119	1	543	12	538	99.0792	3.00184	32.8	26.3
GPICHNHB_00120	1	135	3	134	99.2593	0.992593	33	42
GPICHNHB_00121	1	312	3	239	76.6026	2.40385	32.9	29.3
GPICHNHB_00122	1	321	7	321	100	2.72897	32.9	36.7
GPICHNHB_00123	1	378	6	306	80.9524	2.3836	32.7	42
GPICHNHB_00124	1	675	15	673	99.7037	3.01037	33.3	36.7
GPICHNHB_00126	1	213	1	151	70.892	1.41784	32.4	42
GPICHNHB_00127	1	132	2	131	99.2424	0.992424	30.7	42
GPICHNHB_00128	1	447	5	415	92.8412	2.02685	33.5	33.6
GPICHNHB_00129	1	192	2	190	98.9583	1.46875	33.3	21
GPICHNHB_00130	1	558	19	548	98.2079	3.94086	32.8	36.6
GPICHNHB_00131	1	375	13	372	99.2	5.73867	33.2	27.9
GPICHNHB_00132	1	363	4	362	99.7245	1.63912	32.6	42
GPICHNHB_00134	1	366	6	300	81.9672	2.47268	32.7	36
GPICHNHB_00135	1	675	33	669	99.1111	7.29926	32.3	40.8
GPICHNHB_00138	1	510	5	450	88.2353	1.46667	33.3	38.4
GPICHNHB_00139	1	189	2	169	89.418	1.52381	33.2	42
GPICHNHB_00140	1	1098	45	1049	95.5373	6.1612	32.9	41.5
GPICHNHB_00141	1	1143	41	1141	99.825	5.26422	33.1	41.9
GPICHNHB_00142	1	603	18	590	97.8441	3.73466	32.4	32.3
GPICHNHB_00143	1	225	6	221	98.2222	5.29333	33.6	10.8
GPICHNHB_00144	1	186	3	151	81.1828	0.811828	33.6	24.3
GPICHNHB_00145	1	1308	66	1308	100	7.47401	32.7	40.2
GPICHNHB_00146	1	495	14	492	99.3939	4.1899	32.6	41.9
GPICHNHB_00147	1	1323	76	1318	99.6221	8.63946	32.4	41.2
GPICHNHB_00148	1	231	5	224	96.9697	1.28571	33.3	42
GPICHNHB_00149	1	240	10	213	88.75	6.53333	33.6	42
GPICHNHB_00150	1	327	5	275	84.0979	2.30275	33.5	30.4
GPICHNHB_00152	1	348	16	300	86.2069	6.82184	33.2	14.5
GPICHNHB_00153	1	654	15	523	79.9694	2.9893	33.3	35.1
GPICHNHB_00154	1	366	11	322	87.9781	4.83607	33.5	27
GPICHNHB_00155	1	396	7	341	86.1111	2.60606	32	37.1
GPICHNHB_00156	1	243	4	210	86.4198	1.85185	33.7	16.2
GPICHNHB_00157	1	237	2	220	92.827	1.75949	33.4	42
GPICHNHB_00158	1	414	9	327	78.9855	2.87198	33.2	30
GPICHNHB_00159	1	483	11	443	91.7184	3.37474	33.2	27.3
GPICHNHB_00160	1	414	76	414	100	27.3527	32.7	15.1
GPICHNHB_00161	1	408	79	408	100	28.2426	32.9	23.6
GPICHNHB_00162	1	255	17	255	100	10.502	33	26.9
GPICHNHB_00163	1	615	35	550	89.4309	8.08618	32.9	40.4
GPICHNHB_00164	1	2637	171	2637	100	9.6132	32.4	41.1
GPICHNHB_00165	1	975	67	974	99.8974	10.0256	32.7	41.2
GPICHNHB_00166	1	507	12	469	92.5049	3.53846	32.1	42
GPICHNHB_00167	1	1395	58	1366	97.9211	6.15986	32.6	41.7
GPICHNHB_00168	1	330	15	303	91.8182	6.13939	33.3	33
GPICHNHB_00169	1	417	8	367	88.0096	2.8705	33.2	37.5
GPICHNHB_00170	1	504	9	434	86.1111	2.64087	33.3	38
GPICHNHB_00171	1	267	8	266	99.6255	3.88764	33	37.1
GPICHNHB_00172	1	1053	33	1053	100	4.5603	32.8	39.2
GPICHNHB_00174	1	390	6	364	93.3333	2.25641	32.8	24.3
GPICHNHB_00175	1	423	9	420	99.2908	3.44444	32.9	30.1
GPICHNHB_00176	1	438	17	436	99.5434	4.0411	33	29.5
GPICHNHB_00177	1	192	3	192	100	5.875	33.6	26.7
GPICHNHB_00179	1	357	23	344	96.3585	8.05602	32.7	30.2
GPICHNHB_00180	1	450	30	392	87.1111	9.56222	32.8	38.7
GPICHNHB_00181	1	426	40	418	98.1221	13.4225	33.2	30.6
GPICHNHB_00182	1	171	5	135	78.9474	0.789474	33.2	23.8
GPICHNHB_00183	1	711	56	711	100	11.6188	32.9	29.7
GPICHNHB_00184	1	681	60	681	100	12.862	32.8	35.6
GPICHNHB_00185	1	846	42	845	99.8818	6.89716	32.8	35.4
GPICHNHB_00186	1	588	39	588	100	10.381	32.7	35.7
GPICHNHB_00187	1	135	1	133	98.5185	1.97037	33.3	0
GPICHNHB_00188	1	411	32	361	87.8345	9.43309	33	9.22
GPICHNHB_00189	1	372	20	372	100	8.68011	33.1	35.6
GPICHNHB_00190	1	363	12	357	98.3471	4.85124	32	31.5
GPICHNHB_00191	1	348	6	287	82.4713	2.58046	31.1	37.7
GPICHNHB_00192	1	243	3	215	88.4774	1.83951	33.7	42
GPICHNHB_00193	1	261	6	193	73.9464	3.341	33.3	35
GPICHNHB_00194	1	558	10	529	94.8029	2.67025	33.1	41.8
GPICHNHB_00196	1	210	3	189	90	2.14286	33	36
GPICHNHB_00197	1	294	5	252	85.7143	2.53401	33.6	34
GPICHNHB_00198	1	234	5	217	92.735	2.52991	33.7	34.8
GPICHNHB_00199	1	612	6	442	72.2222	1.72059	33.6	29
GPICHNHB_00200	1	207	2	207	100	1.37198	33.2	41
GPICHNHB_00201	1	183	1	145	79.235	0.79235	33.4	42
GPICHNHB_00203	1	558	18	463	82.9749	4.29211	33.4	42
GPICHNHB_00205	1	315	7	184	58.4127	3.31429	33	42
GPICHNHB_00206	1	270	7	216	80	3.52963	33	42
GPICHNHB_00207	1	273	2	155	56.7766	1.65934	33.5	32.5
GPICHNHB_00208	1	798	14	798	100	2.60401	33.2	40.6
GPICHNHB_00209	1	360	7	298	82.7778	2.09722	32.4	36.1
GPICHNHB_00210	1	651	36	651	100	8.10445	32.9	39
GPICHNHB_00211	1	279	14	274	98.2079	2.08961	32.9	22
GPICHNHB_00212	1	1074	377	1074	100	53.4181	32.9	35
GPICHNHB_00213	1	594	157	594	100	39.6734	32.7	25.7
GPICHNHB_00214	1	426	14	426	100	4.77934	32.7	31
GPICHNHB_00215	1	168	3	159	94.6429	2.55952	33.1	28
GPICHNHB_00216	1	612	19	515	84.1503	4.01961	33.1	35.3
GPICHNHB_00217	1	219	18	219	100	11.6438	33	34.3
GPICHNHB_00218	1	252	5	251	99.6032	2.86508	33	29.4
GPICHNHB_00219	1	303	12	303	100	5.80528	33.3	38.9
GPICHNHB_00220	1	1395	89	1394	99.9283	9.44229	33.1	32
GPICHNHB_00221	1	354	9	354	100	3.33333	33.4	30.8
GPICHNHB_00222	1	306	4	217	70.915	2.41176	30.9	37
GPICHNHB_00223	1	573	16	490	85.5148	4.19372	32.9	39.7
GPICHNHB_00224	1	378	9	357	94.4444	3.18254	32.9	38
GPICHNHB_00225	1	783	24	782	99.8723	4.57854	33.5	40.5
GPICHNHB_00226	1	270	3	229	84.8148	1.9037	33.5	30
GPICHNHB_00227	1	321	6	258	80.3738	2.70093	31.6	24.7
GPICHNHB_00228	1	243	2	178	73.251	1.2428	32.2	23.5
GPICHNHB_00229	1	327	13	326	99.6942	5.29664	32.7	11.6
GPICHNHB_00230	1	198	4	195	98.4848	2.21212	32.7	22.5
GPICHNHB_00231	1	366	4	307	83.8798	2.01639	33.1	42
GPICHNHB_00232	1	279	9	230	82.4373	4.78853	32.8	37.1
GPICHNHB_00233	1	513	27	490	95.5166	7.02144	32.5	40.3
GPICHNHB_00234	1	579	47	579	100	12.0898	33.3	37.7
GPICHNHB_00235	1	447	27	447	100	9.23714	33.1	38.1
GPICHNHB_00236	1	549	12	541	98.5428	2.7286	32.9	40.2
GPICHNHB_00237	1	249	1	151	60.6426	1.81928	32.8	42
GPICHNHB_00238	1	156	3	144	92.3077	0.923077	32.6	42
GPICHNHB_00239	1	363	9	347	95.5923	4.53719	33	35.8
GPICHNHB_00241	1	324	5	324	100	1.95062	33	24.8
GPICHNHB_00242	1	195	4	192	98.4615	2.21538	33.4	41.5
GPICHNHB_00243	1	630	19	548	86.9841	4.73016	33.2	37.1
GPICHNHB_00244	1	702	31	669	95.2991	6.45584	32.8	38.9
GPICHNHB_00245	1	345	11	345	100	4.66377	32.1	35.5
GPICHNHB_00246	1	240	6	238	99.1667	3.65833	33.5	38.2
GPICHNHB_00247	1	396	16	333	84.0909	6.09343	33.1	39.8
GPICHNHB_00248	1	708	30	650	91.8079	6.21328	32.7	33.2
GPICHNHB_00249	1	243	10	232	95.4733	5.53498	32.9	38.1
GPICHNHB_00250	1	960	47	952	99.1667	7.53333	32.8	37.5
GPICHNHB_00251	1	417	15	369	88.4892	5.3693	33.4	28.6
GPICHNHB_00252	1	207	5	205	99.0338	2.80676	32.7	26.6
GPICHNHB_00253	1	216	3	159	73.6111	1.83333	33.3	42
GPICHNHB_00255	1	237	3	192	81.0127	1.89451	31	42
GPICHNHB_00256	1	249	4	237	95.1807	2.1004	32.5	20.5
GPICHNHB_00257	1	189	5	148	78.3069	2.13757	33.5	42
GPICHNHB_00258	1	279	3	191	68.4588	1.62007	33.8	42
GPICHNHB_00259	1	219	3	152	69.4064	1.379	33.1	26.3
GPICHNHB_00260	1	207	12	206	99.5169	7.6087	32.8	6.5
GPICHNHB_00261	1	270	1	150	55.5556	0.555556	33.5	42
GPICHNHB_00262	1	366	3	334	91.2568	1.19399	33.7	36
GPICHNHB_00263	1	342	6	339	99.1228	2.18713	32.9	35.7
GPICHNHB_00264	1	345	7	306	88.6957	3.1913	33	39.4
GPICHNHB_00265	1	243	1	150	61.7284	0.617284	31.5	42
GPICHNHB_00268	1	369	5	323	87.5339	1.61247	32.2	42
GPICHNHB_00269	1	282	4	258	91.4894	2.6773	33.2	29
GPICHNHB_00270	1	165	6	145	87.8788	2.53939	32.7	7
GPICHNHB_00271	1	270	6	267	98.8889	3.3	33.5	42
GPICHNHB_00272	1	357	8	332	92.9972	3.08964	32.6	37.2
GPICHNHB_00273	1	459	7	451	98.2571	2.18083	33	24
GPICHNHB_00274	1	687	29	668	97.2344	5.87773	33	39.1
GPICHNHB_00275	1	687	12	665	96.7977	3.05968	33.4	42
GPICHNHB_00277	1	207	3	191	92.2705	2.18841	33.7	41.3
GPICHNHB_00278	1	285	4	282	98.9474	1.5614	33.3	41.5
GPICHNHB_00280	1	273	6	264	96.7033	2.19048	33.9	42
GPICHNHB_00281	1	594	21	592	99.6633	5.98148	33.2	39
GPICHNHB_00282	1	777	18	701	90.2188	3.46203	32.7	40.9
GPICHNHB_00283	1	210	4	171	81.4286	2.14286	32	42
GPICHNHB_00284	1	462	6	328	70.9957	2.27922	32.7	41.7
GPICHNHB_00285	1	402	12	399	99.2537	2.60697	33.6	25.5
GPICHNHB_00286	1	159	2	159	100	6.15094	33.4	23.5
GPICHNHB_00287	1	381	12	380	99.7375	4.07087	32.9	33.8
GPICHNHB_00288	1	441	18	441	100	6.26077	32.6	32.2
GPICHNHB_00289	1	390	35	374	95.8974	12.5744	33.2	7.43
GPICHNHB_00291	1	228	15	218	95.614	10.4474	33.3	13.7
GPICHNHB_00292	1	213	1	151	70.892	0.70892	33.5	42
GPICHNHB_00293	1	168	1	151	89.881	0.89881	34	42
GPICHNHB_00294	1	288	7	210	72.9167	2.08681	33.3	42
GPICHNHB_00295	1	279	4	228	81.7204	3.15412	33.2	14.5
GPICHNHB_00296	1	1053	35	1053	100	4.97056	32	41.9
GPICHNHB_00298	1	1137	43	1098	96.5699	5.4635	33.1	41.9
GPICHNHB_00299	1	222	6	187	84.2342	1.32883	33.2	42
GPICHNHB_00300	1	264	4	199	75.3788	2.28788	33.2	27.8
GPICHNHB_00302	1	1161	48	1159	99.8277	5.89922	33.1	40.8
GPICHNHB_00303	1	1092	60	1030	94.3223	7.87546	33.2	40.7
GPICHNHB_00304	1	609	31	584	95.8949	7.60099	33	42
GPICHNHB_00305	1	477	18	475	99.5807	5.31447	33	39
GPICHNHB_00306	1	222	7	157	70.7207	3.90541	33.4	30
GPICHNHB_00307	1	414	15	380	91.7874	2.82609	32.4	42
GPICHNHB_00308	1	924	35	907	98.1602	5.79654	33.1	41
GPICHNHB_00309	1	957	30	954	99.6865	4.36886	32.6	37
GPICHNHB_00310	1	648	35	559	86.2654	8.56327	32.3	32.9
GPICHNHB_00311	1	195	2	152	77.9487	1.54359	30.1	25
GPICHNHB_00312	1	897	13	896	99.8885	2.1126	32.8	29.9
GPICHNHB_00313	1	423	8	396	93.617	2.85579	33	39.1
GPICHNHB_00314	1	348	6	319	91.6667	2.51724	32.9	38.5
GPICHNHB_00315	1	717	24	717	100	4.78522	33.2	39.3
GPICHNHB_00316	1	174	2	173	99.4253	2.44253	33.4	21
GPICHNHB_00317	1	321	6	318	99.0654	2.7352	33	41.3
GPICHNHB_00318	1	366	5	333	90.9836	2.04645	32.4	35.2
GPICHNHB_00319	1	270	3	208	77.037	1.62593	32.6	28
GPICHNHB_00320	1	129	3	129	100	1	33.8	42
GPICHNHB_00321	1	684	30	614	89.7661	6.63596	32.9	39.2
GPICHNHB_00322	1	219	8	203	92.6941	5.33333	32.7	36.8
GPICHNHB_00323	1	1608	104	1572	97.7612	9.54602	32.7	40
GPICHNHB_00324	1	1311	63	1311	100	7.07018	32.5	39.4
GPICHNHB_00325	1	1929	130	1929	100	9.97823	32.6	40.6
GPICHNHB_00326	1	504	27	504	100	8.3254	33.2	37.7
GPICHNHB_00327	1	387	16	387	100	5.76744	32.3	41.8
GPICHNHB_00328	1	288	15	244	84.7222	6.27083	32.8	32.7
GPICHNHB_00329	1	405	14	405	100	6.53827	33.1	37.6
GPICHNHB_00330	1	393	11	389	98.9822	4.17812	33.1	22.9
GPICHNHB_00331	1	534	12	470	88.015	3.38764	32.9	35.3
GPICHNHB_00332	1	177	4	177	100	3.06215	32.7	24
GPICHNHB_00333	1	603	18	584	96.8491	4.24212	32.2	40.1
GPICHNHB_00334	1	429	7	415	96.7366	2.80186	33.2	42
GPICHNHB_00335	1	504	21	463	91.8651	5.72619	32.3	35.9
GPICHNHB_00336	1	426	21	426	100	7.36385	33.2	9.19
GPICHNHB_00337	1	237	2	205	86.4979	1.27426	33.2	32.5
GPICHNHB_00338	1	378	6	366	96.8254	2.0582	33.1	42
GPICHNHB_00339	1	351	9	350	99.7151	3.84615	33	37.6
GPICHNHB_00340	1	279	11	279	100	5.78853	33.3	32.7
GPICHNHB_00341	1	264	5	261	98.8636	2.17424	32.5	41.2
GPICHNHB_00342	1	234	6	173	73.9316	3.82479	32.4	36
GPICHNHB_00343	1	1521	70	1520	99.9343	6.77318	32.6	41.4
GPICHNHB_00344	1	1206	66	1125	93.2836	7.91128	32.9	41.6
GPICHNHB_00345	1	693	35	690	99.5671	7.04906	33.2	40.5
GPICHNHB_00346	1	999	151	999	100	22.3604	32.9	39.1
GPICHNHB_00347	1	252	1	151	59.9206	0.599206	32.4	42
GPICHNHB_00348	1	204	6	203	99.5098	4.38235	32.9	42
GPICHNHB_00349	1	429	13	428	99.7669	4.24009	32.4	36.2
GPICHNHB_00350	1	495	24	494	99.798	6.45859	33.2	39.8
GPICHNHB_00351	1	1068	44	1067	99.9064	6.01124	33	38.7
GPICHNHB_00352	1	180	2	167	92.7778	2.51667	32.2	42
GPICHNHB_00353	1	867	33	866	99.8847	5.43483	33	37.7
GPICHNHB_00354	1	276	8	271	98.1884	4.28986	32.9	32.6
GPICHNHB_00356	1	285	2	244	85.614	1.00702	33.5	41
GPICHNHB_00357	1	192	2	189	98.4375	1.53646	33.5	11.5
GPICHNHB_00358	1	294	7	290	98.6395	3.4932	33.3	36
GPICHNHB_00359	1	516	8	448	86.8217	2.3062	33.5	42
GPICHNHB_00360	1	276	3	254	92.029	1.62319	32.4	42
GPICHNHB_00361	1	225	2	180	80	1.33778	33.1	42
GPICHNHB_00362	1	228	1	151	66.2281	0.662281	33.4	42
GPICHNHB_00363	1	255	2	187	73.3333	1.18039	32.6	42
GPICHNHB_00364	1	1236	30	1201	97.1683	3.44741	33.2	38.2
GPICHNHB_00365	1	219	3	219	100	1.94521	32.5	21.7
GPICHNHB_00367	1	249	4	248	99.5984	2.25703	33.3	31.5
GPICHNHB_00368	1	270	3	204	75.5556	1.67407	33.7	14
GPICHNHB_00369	1	864	39	804	93.0556	6.77894	33.3	24.7
GPICHNHB_00370	1	612	50	605	98.8562	11.2533	32.6	21.7
GPICHNHB_00371	1	321	9	313	97.5078	4.61682	33.3	30.8
GPICHNHB_00373	1	282	16	266	94.3262	6.87943	32.8	29.2
GPICHNHB_00374	1	750	34	750	100	7.22133	33	39
GPICHNHB_00375	1	2412	104	2401	99.5439	6.30141	33.2	40.5
GPICHNHB_00376	1	1911	87	1909	99.8953	6.16379	32.7	40
GPICHNHB_00377	1	348	10	263	75.5747	3.89655	33.7	34.5
GPICHNHB_00379	1	954	29	953	99.8952	4.73375	32.3	36.8
GPICHNHB_00380	1	924	39	906	98.0519	6.32468	32.6	39
GPICHNHB_00381	1	381	8	363	95.2756	2.32283	33.2	30.5
GPICHNHB_00382	1	462	17	432	93.5065	6.17965	33.2	31.8
GPICHNHB_00383	1	219	5	166	75.7991	3.44749	33.8	10
GPICHNHB_00384	1	435	14	373	85.7471	4.75402	33.2	30
GPICHNHB_00385	1	453	12	371	81.8985	2.32009	33.3	40.5
GPICHNHB_00386	1	954	38	940	98.5325	6.61426	33.2	38.9
GPICHNHB_00387	1	345	9	293	84.9275	4.35652	33.4	20.2
GPICHNHB_00388	1	135	1	127	94.0741	0.940741	33.7	42
GPICHNHB_00389	1	183	4	157	85.7923	1.64481	32.2	37.2
GPICHNHB_00390	1	546	14	546	100	3.84432	32.9	42
GPICHNHB_00391	1	246	1	151	61.3821	1.22764	33.5	42
GPICHNHB_00392	1	243	9	236	97.1193	4.2428	32.8	42
GPICHNHB_00393	1	330	10	330	100	2.27576	33.4	36
GPICHNHB_00394	1	849	178	849	100	32.159	32.8	41.1
GPICHNHB_00395	1	396	5	362	91.4141	1.12374	33.2	36.6
GPICHNHB_00396	1	360	10	279	77.5	2.86944	33.5	25.4
GPICHNHB_00397	1	1515	97	1515	100	9.89637	33	37.9
GPICHNHB_00398	1	222	2	157	70.7207	1.95946	32.8	32.5
GPICHNHB_00399	1	783	31	759	96.9349	5.29374	33.1	40.8
GPICHNHB_00402	1	486	42	486	100	11.5844	32.8	36.3
GPICHNHB_00403	1	1938	145	1937	99.9484	11.3106	32.6	40.8
GPICHNHB_00404	1	360	8	355	98.6111	3.33333	32.4	41.8
GPICHNHB_00405	1	354	4	228	64.4068	1.69774	33.3	42
GPICHNHB_00406	1	390	9	390	100	3.08462	32.8	28.7
GPICHNHB_00407	1	291	5	273	93.8144	3.05842	33.6	38.6
GPICHNHB_00408	1	345	7	314	91.0145	2.54493	33.3	32.9
GPICHNHB_00409	1	1008	23	1005	99.7024	3.55853	32.3	40.9
GPICHNHB_00410	1	183	2	151	82.5137	0.825137	33.6	32.5
GPICHNHB_00411	1	240	2	151	62.9167	1.25833	33.2	2
GPICHNHB_00412	1	681	58	680	99.8532	12.9207	32.6	9.62
GPICHNHB_00413	1	225	2	151	67.1111	0.671111	32.9	11.5
GPICHNHB_00414	1	198	1	131	66.1616	1.32323	33.4	42
GPICHNHB_00415	1	657	19	580	88.2801	4.20852	33.2	41
GPICHNHB_00416	1	789	16	699	88.5932	2.86439	32.4	39.7
GPICHNHB_00418	1	252	3	223	88.4921	2.21032	32.9	36
GPICHNHB_00419	1	420	9	413	98.3333	3.17143	32.7	32.7
GPICHNHB_00420	1	237	6	236	99.5781	2.91139	32.4	24
GPICHNHB_00421	1	348	6	342	98.2759	2.96264	33.2	41.3
GPICHNHB_00422	1	441	9	441	100	3.07029	32.9	32.7
GPICHNHB_00423	1	222	9	207	93.2432	4.97748	33.2	28
GPICHNHB_00424	1	468	11	367	78.4188	2.98718	33.3	27.3
GPICHNHB_00425	1	132	1	132	100	3	32.5	42
GPICHNHB_00426	1	357	4	357	100	1.57703	32.3	14.2
GPICHNHB_00427	1	234	1	141	60.2564	0.602564	30.9	42
GPICHNHB_00428	1	279	7	242	86.7384	2.27599	33.4	33.9
GPICHNHB_00429	1	366	8	307	83.8798	4.06011	32.5	39.8
